"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"STAT3","20848;6774",2,"26408534;27855189","cancer","PubMed+PubTator3"
"TFF1","7031",2,"20525369;23302999","cancer","PubMed+PubTator3"
"TGFB1","7040",2,"19092773;33229445","cancer","PubMed+PubTator3"
"Trp53","22059",2,"22880004;26168291","cancer","PubMed+PubTator3"
"TRPS1","7227",2,"25819079;37632791","cancer","PubMed+PubTator3"
"tyrosine kinase","7294",2,"22941188;36116415","cancer","PubMed+PubTator3"
"UGT2B7","7364",2,"28583088;33595913","cancer","PubMed+PubTator3"
"VDR","7421",2,"16584379;41540004","cancer","PubMed+PubTator3"
"VEGF","7422",2,"28339086;31684858","cancer","PubMed+PubTator3"
"WT1","7490",2,"23171949;36804482","cancer","PubMed+PubTator3"
"-DQB1","3119",1,"30384854","cancer","PubMed+PubTator3"
"ABCB5","340273",1,"22980976","cancer","PubMed+PubTator3"
"Abcc3","76408",1,"39067134","cancer","PubMed+PubTator3"
"ABCD2","225",1,"24739237","cancer","PubMed+PubTator3"
"ACAP1","9744",1,"28362817","cancer","PubMed+PubTator3"
"achaete-scute homolog 1","429",1,"31782890","cancer","PubMed+PubTator3"
"ACOT2","10965",1,"39002386","cancer","PubMed+PubTator3"
"ACOXL","55289",1,"26237329","cancer","PubMed+PubTator3"
"ACSS2","55902",1,"33258187","cancer","PubMed+PubTator3"
"activating protein-1","3726",1,"22665440","cancer","PubMed+PubTator3"
"activator protein-1","3725",1,"26676204","cancer","PubMed+PubTator3"
"ACTRT3","84517",1,"39910817","cancer","PubMed+PubTator3"
"ADAM29","11086",1,"24670651","cancer","PubMed+PubTator3"
"ADAM33","80332",1,"39002386","cancer","PubMed+PubTator3"
"ADAMDEC1","27299",1,"39680087","cancer","PubMed+PubTator3"
"ADCY3","109",1,"41713536","cancer","PubMed+PubTator3"
"AGER","177",1,"26683690","cancer","PubMed+PubTator3"
"AhR","196",1,"32988402","cancer","PubMed+PubTator3"
"AHR","196",1,"32988402","cancer","PubMed+PubTator3"
"AIOLOS","22806",1,"17344859","cancer","PubMed+PubTator3"
"AIP","9049",1,"39878408","cancer","PubMed+PubTator3"
"AJUBA","84962",1,"25631445","cancer","PubMed+PubTator3"
"AKR1C2","1646",1,"23302999","cancer","PubMed+PubTator3"
"AKT1","207",1,"27628192","cancer","PubMed+PubTator3"
"AKT3","10000",1,"30728399","cancer","PubMed+PubTator3"
"aldehyde oxidase 1","316",1,"33135729","cancer","PubMed+PubTator3"
"ALDH1A3","220",1,"26110572","cancer","PubMed+PubTator3"
"ALDH3A2","224",1,"34839022","cancer","PubMed+PubTator3"
"ALKBH5","54890",1,"41219359","cancer","PubMed+PubTator3"
"ANK2","287",1,"27671336","cancer","PubMed+PubTator3"
"ANKLE1","126549",1,"28362817","cancer","PubMed+PubTator3"
"ANKRD29","147463",1,"40175565","cancer","PubMed+PubTator3"
"ANKRD7","56311",1,"30289875","cancer","PubMed+PubTator3"
"ANLN","54443",1,"32902196","cancer","PubMed+PubTator3"
"ANO5","203859",1,"27671336","cancer","PubMed+PubTator3"
"ANXA3","306",1,"30274024","cancer","PubMed+PubTator3"
"AOX1","316",1,"33135729","cancer","PubMed+PubTator3"
"AP1","2354",1,"26234679","cancer","PubMed+PubTator3"
