"PMID","Title","Journal","Year"
"25064568","e-Driver: a novel method to identify protein regions driving cancer.","Bioinformatics (Oxford, England)","2014"
"28683746","Multi-omics of 34 colorectal cancer cell lines - a resource for biomedical studies.","Molecular cancer","2017"
"30959272","Identifying mutated driver pathways in cancer by integrating multi-omics data.","Computational biology and chemistry","2019"
"12776211","Sequence-based cancer genomics: progress, lessons and opportunities.","Nature reviews. Genetics","2003"
"35681111","Genomic Signatures from Clinical Tumor Sequencing in Patients with Breast Cancer Having Germline BRCA1/2 Mutation.","Cancer research and treatment","2023"
"31287869","WITER: a powerful method for estimation of cancer-driver genes using a weighted iterative regression modelling background mutation counts.","Nucleic acids research","2019"
"29378629","An integrative functional genomics framework for effective identification of novel regulatory variants in genome-phenome studies.","Genome medicine","2018"
"20352487","Mutations and polymorphic BRCA variants transmission in breast cancer familial members.","Breast cancer research and treatment","2011"
"20639864","Cross-species genomics matches driver mutations and cell compartments to model ependymoma.","Nature","2010"
"33957863","Systematic interrogation of mutation groupings reveals divergent downstream expression programs within key cancer genes.","BMC bioinformatics","2021"
"26699919","ECGene: A Literature-Based Knowledgebase of Endometrial Cancer Genes.","Human mutation","2016"
"33863344","Cross-oncopanel study reveals high sensitivity and accuracy with overall analytical performance depending on genomic regions.","Genome biology","2021"
"30704472","Comparison of different functional prediction scores using a gene-based permutation model for identifying cancer driver genes.","BMC medical genomics","2019"
"31249063","Estimation of allele-specific fitness effects across human protein-coding sequences and implications for disease.","Genome research","2019"
"23343428","Detecting recurrent gene mutation in interaction network context using multi-scale graph diffusion.","BMC bioinformatics","2013"
"26234679","Functional features of EVI1 and EVI1Δ324 isoforms of MECOM gene in genome-wide transcription regulation and oncogenicity.","Oncogene","2016"
"22441573","Cancer gene prioritization by integrative analysis of mRNA expression and DNA copy number data: a comparative review.","Briefings in bioinformatics","2013"
"28003584","Integrated next-generation sequencing analysis of whole exome and 409 cancer-related genes.","Biomedical research (Tokyo, Japan)","2016"
"31195961","Statistical representation models for mutation information within genomic data.","BMC bioinformatics","2019"
"32374727","The genomic landscape of metastatic breast cancer: Insights from 11,000 tumors.","PloS one","2020"
"40500302","Monitoring the rate and variability of somatic genomic alterations using long-read sequencing.","Scientific reports","2025"
"28339086","Identification of novel mutations in endometrial cancer patients by whole-exome sequencing.","International journal of oncology","2017"
"17344859","Genome-wide analysis of genetic alterations in acute lymphoblastic leukaemia.","Nature","2007"
