"Gene","Tissue_Count","Best_QValue","Best_Empirical_PValue","Best_PValue","Mean_Abs_Log2_AFC","Example_Tissues","Gencode_ID","Phenotype","Selected_Tissues"
"AC093838.4",7,9.00484e-131,1.20238e-132,2.21969e-147,1.00670957142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000152117.17","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"NSA2",7,4.96562e-127,7.49149e-129,1.21195e-142,0.722913,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000164346.9","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RHD",7,5.78981e-123,9.63852e-125,2.90186e-137,4.52038271428571,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000187010.19","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-22B23.1",7,1.07555e-120,1.95838e-122,8.7815e-137,2.24899442857143,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000111788.10","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"HLA-DRB5",7,1.53464e-120,2.8209e-122,4.39462e-145,2.89420028571429,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000198502.5","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"AC068282.3",7,1.86861e-119,3.66162e-121,1.29707e-133,4.91598757142857,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000236682.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"PWP2",7,2.46198e-108,7.21517e-110,1.22791e-121,3.97076228571429,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000241945.7","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"C21orf33",7,2.7674e-105,2.07379e-107,5.57593e-118,5.60383885714286,"Liver;Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000160221.16","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RP11-190A12.8",6,2.35289e-204,2.85611e-207,3.82134e-227,1.968941,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000272668.1","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"LSG1",6,4.06611e-173,1.12817e-175,3.14446e-190,0.787946166666667,"Liver;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000041802.10","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
"RPL9",6,5.3916e-152,3.17886e-154,2.47738e-169,0.5855595,"Lung;Ovary;Pancreas;Prostate;Stomach;Thyroid","ENSG00000163682.15","cancer","Lung (count=316766); Prostate (count=190492); Liver (count=125070); Bladder (count=70996); Thyroid (count=51378); Stomach (count=34100); Pancreas (count=20624); Ovary (count=12143)"
