"Gene","Entrez_ID","PMID_Count","Supporting_PMIDs","Phenotype","Source"
"angiotensin I-converting enzyme","1636",1,"15644278","migraine","PubMed+PubTator3"
"angiotensin-converting enzyme","1636",1,"17381556","migraine","PubMed+PubTator3"
"Angiotensin-converting enzyme","1636",1,"18366776","migraine","PubMed+PubTator3"
"Angptl1","9068",1,"40419944","migraine","PubMed+PubTator3"
"ANKDD1B.","728780",1,"34669083","migraine","PubMed+PubTator3"
"antithrombin III","462",1,"22664050","migraine","PubMed+PubTator3"
"AP-2","7020",1,"21195698","migraine","PubMed+PubTator3"
"APLF","200558",1,"36739509","migraine","PubMed+PubTator3"
"APOA1BP","128240",1,"23793025","migraine","PubMed+PubTator3"
"APOB","338",1,"38183343","migraine","PubMed+PubTator3"
"ApoE","348",1,"26264634","migraine","PubMed+PubTator3"
"ApoE4","348",1,"26264634","migraine","PubMed+PubTator3"
"apolipoprotein B","338",1,"38802400","migraine","PubMed+PubTator3"
"AR","367",1,"15654614","migraine","PubMed+PubTator3"
"ARHGAP25","9938",1,"38898596","migraine","PubMed+PubTator3"
"ARHGAP28","79822",1,"26814133","migraine","PubMed+PubTator3"
"ARID3A","1820",1,"39833696","migraine","PubMed+PubTator3"
"ARID3A.","1820",1,"39833696","migraine","PubMed+PubTator3"
"AS1","5729",1,"37415806","migraine","PubMed+PubTator3"
"aspartate aminotransferase","26503",1,"41088633","migraine","PubMed+PubTator3"
"AST","26503",1,"41088633","migraine","PubMed+PubTator3"
"ASXL1","171023",1,"41420111","migraine","PubMed+PubTator3"
"ATAD2B","54454",1,"39266962","migraine","PubMed+PubTator3"
"ATF5","22809",1,"37415806","migraine","PubMed+PubTator3"
"ATG7","10533",1,"36376028","migraine","PubMed+PubTator3"
"ATIII","462",1,"22664050","migraine","PubMed+PubTator3"
"ATP1A1","476",1,"12119109","migraine","PubMed+PubTator3"
"Atp1a4","27222;480",1,"12119109","migraine","PubMed+PubTator3"
"ATP2B1","490",1,"34654805","migraine","PubMed+PubTator3"
"ATP2C2","9914",1,"18676988","migraine","PubMed+PubTator3"
"ATXN3","4287",1,"19153782","migraine","PubMed+PubTator3"
"B3GNT8","374907",1,"37592229","migraine","PubMed+PubTator3"
"BACE2","25825",1,"41097341","migraine","PubMed+PubTator3"
"BANP","54971",1,"33767277","migraine","PubMed+PubTator3"
"beta-nerve growth factor","4803",1,"39279254","migraine","PubMed+PubTator3"
"beta1","28905",1,"26763045","migraine","PubMed+PubTator3"
"beta2","28907",1,"26763045","migraine","PubMed+PubTator3"
