"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"CADHERIN","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CADHERIN","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER-","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER-","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER-RELATED","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANCER-RELATED","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CANDIDATE","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARCINOMA","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARCINOMA","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARCINOMA","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARCINOMA","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARD8","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARRIER","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CARRIER","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CAS","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASC11","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASC19","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASC21","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASC3","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASC8","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP10","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP10","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP10","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP10","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP8","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP8","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP8","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASP8","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASR","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CASSETTE","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CATALYTIC","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CATALYTIC","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CATENIN","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CAUSED","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCAT1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCDC26","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCDC26","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCND1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCND1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCND1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CCND1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDC73","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDH1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDH1","","","","cancer disease","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDH1","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDH1","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDK2","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDK2-ASSOCIATED","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDK2AP1","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDKN1C","","","","cancer syndrome","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDKN1C","","","","familial cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
"CDKN2A","","","","cancer","cancer","","","","OMIM_SCRAPE_FALLBACK"
