"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"RAP250","Q14686","Nuclear receptor coactivator 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RAPA","Q96PN7","Transcriptional-regulating factor 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RASK2","P01116","GTPase KRas","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RB1","P06400","Retinoblastoma-associated protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RB1CC1","Q8TDY2","RB1-inducible coiled-coil protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBBP1L1","Q4LE39","AT-rich interactive domain-containing protein 4B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBBP2H1","Q9UGL1","Lysine-specific demethylase 5B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBBP6","Q7Z6E9","E3 ubiquitin-protein ligase RBBP6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBBP8","Q99708","DNA endonuclease RBBP8","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBICC","Q8TDY2","RB1-inducible coiled-coil protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBM46","Q8TBY0","Probable RNA-binding protein 46","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBM5","P52756","RNA-binding protein 5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBM6","P78332","RNA-binding protein 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBP1L1","Q4LE39","AT-rich interactive domain-containing protein 4B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBPJ","Q06330","Recombining binding protein suppressor of hairless","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBPJK","Q06330","Recombining binding protein suppressor of hairless","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBPSUH","Q06330","Recombining binding protein suppressor of hairless","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RBQ1","Q7Z6E9","E3 ubiquitin-protein ligase RBBP6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RCAS1","O00559","Receptor-binding cancer antigen expressed on SiSo cells","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RCV1","P35243","Recoverin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RCVRN","P35243","Recoverin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"REAM","Q9UIJ5","Palmitoyltransferase ZDHHC2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"REC","Q9UIJ5","Palmitoyltransferase ZDHHC2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RECA","Q06609","DNA repair protein RAD51 homolog 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RECC","Q9H3R2","Mucin-13","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RECQ3","Q14191","Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RECQ4","O94761","ATP-dependent DNA helicase Q4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RECQL2","Q14191","Bifunctional 3'-5' exonuclease/ATP-dependent helicase WRN","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RECQL4","O94761","ATP-dependent DNA helicase Q4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"REG4","Q9BYZ8","Regenerating islet-derived protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RELP","Q9BYZ8","Regenerating islet-derived protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"REPA1","P27694","Replication protein A 70 kDa DNA-binding subunit","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RER1","O15258","Protein RER1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RET","P07949","Proto-oncogene tyrosine-protein kinase receptor Ret","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RG9MTD1","Q7L0Y3","tRNA methyltransferase 10 homolog C","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RGS19","P49795","Regulator of G-protein signaling 19","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RHBDF2","Q6PJF5","Inactive rhomboid protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RHBDL5","Q6PJF5","Inactive rhomboid protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RHBDL6","Q6PJF5","Inactive rhomboid protein 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RHLP","Q96GQ7","Probable ATP-dependent RNA helicase DDX27","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RHOBTB2","Q9BYZ6","Rho-related BTB domain-containing protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RLF","P51460","Insulin-like 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RLIM","Q9NVW2","E3 ubiquitin-protein ligase RLIM","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RLNL","P51460","Insulin-like 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RMC1","Q96DM3","Regulator of MON1-CCZ1 complex","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RMND5B","Q96G75","E3 ubiquitin-protein transferase RMND5B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNASEL","Q05823","2-5A-dependent ribonuclease","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF106","Q96T88","E3 ubiquitin-protein ligase UHRF1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF113","O15541","E3 ubiquitin-protein ligase RNF113A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF113A","O15541","E3 ubiquitin-protein ligase RNF113A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF12","Q9NVW2","E3 ubiquitin-protein ligase RLIM","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF146","Q9NTX7","E3 ubiquitin-protein ligase RNF146","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF43","Q68DV7","E3 ubiquitin-protein ligase RNF43","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF52","Q7Z569","BRCA1-associated protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF53","P38398","Breast cancer type 1 susceptibility protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF6","Q9Y252","E3 ubiquitin-protein ligase RNF6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNF80","Q14527","DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNG140","Q6IMN6","Caprin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNH2","Q96MN2","NACHT, LRR and PYD domains-containing protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RNS4","Q05823","2-5A-dependent ribonuclease","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ROCK1","Q13464","Rho-associated protein kinase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ROPN1","Q9HAT0","Ropporin-1A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ROPN1A","Q9HAT0","Ropporin-1A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ROS","P08922","Proto-oncogene tyrosine-protein kinase ROS","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ROS1","P08922","Proto-oncogene tyrosine-protein kinase ROS","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RPA1","P27694","Replication protein A 70 kDa DNA-binding subunit","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RPA70","P27694","Replication protein A 70 kDa DNA-binding subunit","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RPD3L1","Q13547","Histone deacetylase 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RPL10","P27635","Large ribosomal subunit protein uL16","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RPLP2","P05387","Large ribosomal subunit protein P2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RPP2","P05387","Large ribosomal subunit protein P2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RRAS2","P62070","Ras-related protein R-Ras2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RRP7A","Q9Y3A4","Ribosomal RNA-processing protein 7 homolog A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RSPH1","Q8WYR4","Radial spoke head 1 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RTEL1","Q9NZ71","Regulator of telomere elongation helicase 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"RXFP2","Q8WXD0","Relaxin receptor 2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SAA1","P0DJI8","Serum amyloid A-1 protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SAP1","Q9HD43","Receptor-type tyrosine-protein phosphatase H","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SAP180","Q4LE39","AT-rich interactive domain-containing protein 4B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SAPK3","P53778","Mitogen-activated protein kinase 12","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SASH1","O94885","SAM and SH3 domain-containing protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCAF11","Q99590","Protein SCAF11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCAI","Q8N9R8","Protein SCAI","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCAP","Q9NP31","SH2 domain-containing protein 2A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCARA1","P21757","Macrophage scavenger receptor types I and II","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCCA","P29508","Serpin B3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCCA1","P29508","Serpin B3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCFR","P10721","Mast/stem cell growth factor receptor Kit","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SCP1","Q15431","Synaptonemal complex protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDBCAG84","Q9Y282","Endoplasmic reticulum-Golgi intermediate compartment protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG1","O60524","Ribosome quality control complex subunit NEMF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG10","Q6UX04","Spliceosome-associated protein CWC27 homolog","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG16","Q9BVJ6","U3 small nucleolar RNA-associated protein 14 homolog A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG28","Q9Y365","START domain-containing protein 10","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG3","Q96C92","Endosome-associated-trafficking regulator 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG33","Q6ZSZ6","Teashirt homolog 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG43","Q9Y3S1","Serine/threonine-protein kinase WNK2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDCCAG8","Q86SQ7","Serologically defined colon cancer antigen 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SDR41C1","Q9NZC7","WW domain-containing oxidoreductase","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SEC23B","Q15437","Protein transport protein Sec23B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SELOB","Q4LDE5","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SEMG","P04279","Semenogelin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SEMG1","P04279","Semenogelin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SEP53","Q9UBG3","Cornulin","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SEPT1","Q8WYJ6","Septin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SEPTIN1","Q8WYJ6","Septin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SERPINB3","P29508","Serpin B3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SERPINF1","P36955","Pigment epithelium-derived factor","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SET2","Q9BYW2","Histone-lysine N-methyltransferase SETD2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SETBP1","Q9Y6X0","SET-binding protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SETD2","Q9BYW2","Histone-lysine N-methyltransferase SETD2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFRS2IP","Q99590","Protein SCAF11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFTP1","Q8IWL1","Pulmonary surfactant-associated protein A2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFTPA","Q8IWL1","Pulmonary surfactant-associated protein A2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFTPA1","Q8IWL2","Pulmonary surfactant-associated protein A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFTPA1B","Q8IWL2","Pulmonary surfactant-associated protein A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFTPA2","Q8IWL1","Pulmonary surfactant-associated protein A2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFTPA2B","Q8IWL1","Pulmonary surfactant-associated protein A2","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SFXN4","Q6P4A7","Sideroflexin-4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SGA72M","Q9HCH5","Synaptotagmin-like protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SGO1","Q5FBB7","Shugoshin 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SGOL1","Q5FBB7","Shugoshin 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SH2B","Q9NRF2","SH2B adapter protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SH2B1","Q9NRF2","SH2B adapter protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SH2D2A","Q9NP31","SH2 domain-containing protein 2A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SH2D3B","O75815","Breast cancer anti-estrogen resistance protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SH3BGRL","O75368","Adapter SH3BGRL","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SIP1","Q99590","Protein SCAF11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SIX6OS1","Q8N1H7","Protein SIX6OS1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SKK2","P46734","Dual specificity mitogen-activated protein kinase kinase 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SKR4","P36897","TGF-beta receptor type-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SKRP3","Q9BV47","Dual specificity protein phosphatase 26","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC21A19","Q86UG4","Solute carrier organic anion transporter family member 6A1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC22A18","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC22A1L","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC23A1","Q9UHI7","Solute carrier family 23 member 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC2A5","P22732","Solute carrier family 2, facilitated glucose transporter member 5","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC35C2","Q9NQQ7","Solute carrier family 35 member H1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC35E3","Q7Z769","Solute carrier family 35 member E3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC35H1","Q9NQQ7","Solute carrier family 35 member H1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC38A9","Q8NBW4","Neutral amino acid transporter 9","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC3A2","P08195","Amino acid transporter heavy chain SLC3A2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC43A1","O75387","Large neutral amino acids transporter small subunit 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC45A3","Q96JT2","Solute carrier family 45 member 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC49A4","Q96SL1","Solute carrier family 49 member 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLC67A1","Q96BI1","Solute carrier family 67 member A1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLCO6A1","Q86UG4","Solute carrier organic anion transporter family member 6A1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLP2","Q9HCH5","Synaptotagmin-like protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLP2A","Q9HCH5","Synaptotagmin-like protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SLX4","Q8IY92","Structure-specific endonuclease subunit SLX4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMAD3","P84022","SMAD family member 3","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMAD4","Q13485","SMAD family member 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMAD7","O15105","SMAD family member 7","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMARCA3","Q14527","DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMARCA4","P51532","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMARCB1","Q12824","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMDF","Q02297","Pro-neuregulin-1, membrane-bound isoform","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMG8","Q8ND04","Nonsense-mediated mRNA decay factor SMG8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMIM22","K7EJ46","Small integral membrane protein 22","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMN","Q16637","Survival motor neuron protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMN1","Q16637","Survival motor neuron protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMN2","Q16637","Survival motor neuron protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMNC","Q16637","Survival motor neuron protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SMNT","Q16637","Survival motor neuron protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SNC6","P50502","Hsc70-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SNCG","O76070","Gamma-synuclein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SNF2B","P51532","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SNF2L3","Q14527","DNA-dependent ATPase/E3 ubiquitin-protein ligase HLTF","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SNF2L4","P51532","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 4","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SNF5L1","Q12824","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SOB1","O75969","A-kinase anchor protein 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SOC","Q5T124","UBX domain-containing protein 11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SP17","Q15506","Sperm surface protein Sp17","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPA17","Q15506","Sperm surface protein Sp17","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPAG9","O60271","C-Jun-amino-terminal kinase-interacting protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPAK","Q9UEW8","STE20/SPS1-related proline-alanine-rich protein kinase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPECC1L","Q69YQ0","Cytospin-A","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPG2","Q9Y252","E3 ubiquitin-protein ligase RNF6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPIN","Q9Y657","Spindlin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPIN1","Q9Y657","Spindlin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPINK1","P00995","Serine protease inhibitor Kazal-type 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPINLW1","O95925","Eppin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPMAP2","Q9P2T0","Sperm microtubule associated protein 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPNS1","Q9H2V7","Protein spinster homolog 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SPO11","Q9Y5K1","Meiotic recombination protein SPO11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SRC1","Q15788","Nuclear receptor coactivator 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SRD5A2","P31213","3-oxo-5-alpha-steroid 4-dehydrogenase 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SRGAP1","Q7Z6B7","SLIT-ROBO Rho GTPase-activating protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SRSF2IP","Q99590","Protein SCAF11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSTK","Q9BXA6","Testis-specific serine/threonine-protein kinase 6","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX1","Q16384","Protein SSX1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX2","Q16385","Protein SSX2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX2A","Q16385","Protein SSX2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX2B","Q16385","Protein SSX2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX3","Q99909","Protein SSX3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX4","O60224","Protein SSX4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX4A","O60224","Protein SSX4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"SSX4B","O60224","Protein SSX4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ST12","Q99612","Krueppel-like factor 6","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"ST13","P50502","Hsc70-interacting protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STAMP1","Q8NFT2","Metalloreductase STEAP2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STARD10","Q9Y365","START domain-containing protein 10","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STARD12","Q96QB1","Rho GTPase-activating protein 7","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STARD13","Q9Y3M8","StAR-related lipid transfer protein 13","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STARD8","Q92502","StAR-related lipid transfer protein 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STEAP2","Q8NFT2","Metalloreductase STEAP2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STIM1","Q13586","Stromal interaction molecule 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STIP1","P31948","Stress-induced-phosphoprotein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STK1","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STK11","Q15831","Serine/threonine-protein kinase STK11","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STK12","Q96GD4","Aurora kinase B","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"STK39","Q9UEW8","STE20/SPS1-related proline-alanine-rich protein kinase","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
