"Gene","UniProt_ID","Protein_Name","Source","Query_Type"
"C2orf44","Q9H6R7","WD repeat and coiled-coil-containing protein","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C6orf125","Q9BRT2","Ubiquinol-cytochrome c reductase complex assembly factor 2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C6orf173","Q5EE01","Centromere protein W","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C6orf204","Q5SZL2","Centrosomal protein of 85 kDa-like","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C6orf98","Q8NF91","Nesprin-1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C8orf4","Q9NR00","Transcriptional and immune response regulator","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C9orf10","Q9NZB2","Constitutive coactivator of PPAR-gamma-like protein 1","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C9orf126","Q8N9R8","Protein SCAI","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"C9orf13","Q4LDE5","Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CA125","Q8WXI7","Mucin-16","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CABLES","Q8TDN4","CDK5 and ABL1 enzyme substrate 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CABLES1","Q8TDN4","CDK5 and ABL1 enzyme substrate 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CABYR","O75952","Calcium-binding tyrosine phosphorylation-regulated protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CACTIN","Q8WUQ7","Splicing factor Cactin","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CADM1","Q9BY67","Cell adhesion molecule 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CAGE","Q86TM3","Probable ATP-dependent RNA helicase DDX53","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CAGE1","Q8TC20","Cancer-associated gene 1 protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CALML4","Q96GE6","Calmodulin-like protein 4","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CANP","Q6SJ93","Serine protease FAM111B","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CAPC","Q2I0M4","Leucine-rich repeat-containing protein 26","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CAPRIN2","Q6IMN6","Caprin-2","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CAS","P56945","Breast cancer anti-estrogen resistance protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASC13","A8K830","POU class 2 homeobox associating factor 3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASC3","O15234","Protein CASC3","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASC5","Q8NG31","Outer kinetochore KNL1 complex subunit KNL1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASIMO1","K7EJ46","Small integral membrane protein 22","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASL","Q14511","Enhancer of filamentation 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASM","O15116","U6 snRNA-associated Sm-like protein LSm1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASP10","Q92851","Caspase-10","UniProt","(cc_disease:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASP11","Q99590","Protein SCAF11","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASP8","Q14790","Caspase-8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CASS1","P56945","Breast cancer anti-estrogen resistance protein 1","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CBP86","O75952","Calcium-binding tyrosine phosphorylation-regulated protein","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCAR2","Q8N163","Cell cycle and apoptosis regulator protein 2","UniProt","(ft_mutagen:""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCCAP","Q86SQ7","Serologically defined colon cancer antigen 8","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
"CCDC110","Q8TBZ0","Coiled-coil domain-containing protein 110","UniProt","(""cancer"") AND (organism_id:9606) AND (reviewed:true)"
