"Gene","HPO_ID","HPO_Term","Gene_ID","HPO_Term_Lower","Source","Match_Pattern"
"NLRP3","HP:0002076","Migraine","114548","migraine","HPO_Term_Exact","migraine"
"NOP56","HP:0002076","Migraine","10528","migraine","HPO_Term_Exact","migraine"
"NOTCH3","HP:0002076","Migraine","4854","migraine","HPO_Term_Exact","migraine"
"NPAT","HP:0002076","Migraine","4863","migraine","HPO_Term_Exact","migraine"
"OPA1","HP:0002076","Migraine","4976","migraine","HPO_Term_Exact","migraine"
"P2RY11","HP:0002076","Migraine","5032","migraine","HPO_Term_Exact","migraine"
"PDGFB","HP:0002076","Migraine","5155","migraine","HPO_Term_Exact","migraine"
"PDGFRB","HP:0002076","Migraine","5159","migraine","HPO_Term_Exact","migraine"
"PEX11B","HP:0002076","Migraine","8799","migraine","HPO_Term_Exact","migraine"
"PGK1","HP:0002076","Migraine","5230","migraine","HPO_Term_Exact","migraine"
"PIK3CA","HP:0002076","Migraine","5290","migraine","HPO_Term_Exact","migraine"
"PLAAT3","HP:0002076","Migraine","11145","migraine","HPO_Term_Exact","migraine"
"PMS1","HP:0002076","Migraine","5378","migraine","HPO_Term_Exact","migraine"
"PMS2","HP:0002076","Migraine","5395","migraine","HPO_Term_Exact","migraine"
"POLD1","HP:0002076","Migraine","5424","migraine","HPO_Term_Exact","migraine"
"POLE","HP:0002076","Migraine","5426","migraine","HPO_Term_Exact","migraine"
"POLG","HP:0002076","Migraine","5428","migraine","HPO_Term_Exact","migraine"
"POLG2","HP:0002076","Migraine","11232","migraine","HPO_Term_Exact","migraine"
"PRORP","HP:0002076","Migraine","9692","migraine","HPO_Term_Exact","migraine"
"PRRT2","HP:0002076","Migraine","112476","migraine","HPO_Term_Exact","migraine"
"RELN","HP:0002076","Migraine","5649","migraine","HPO_Term_Exact","migraine"
"RNASEH1","HP:0002076","Migraine","246243","migraine","HPO_Term_Exact","migraine"
"RPS20","HP:0002076","Migraine","6224","migraine","HPO_Term_Exact","migraine"
"RRM2B","HP:0002076","Migraine","50484","migraine","HPO_Term_Exact","migraine"
"SEMA4A","HP:0002076","Migraine","64218","migraine","HPO_Term_Exact","migraine"
"SH2B1","HP:0002076","Migraine","25970","migraine","HPO_Term_Exact","migraine"
"SH2B3","HP:0002076","Migraine","10019","migraine","HPO_Term_Exact","migraine"
"SLC1A3","HP:0002076","Migraine","6507","migraine","HPO_Term_Exact","migraine"
"SLC25A4","HP:0002076","Migraine","291","migraine","HPO_Term_Exact","migraine"
"SLC2A1","HP:0002076","Migraine","6513","migraine","HPO_Term_Exact","migraine"
"SLC6A19","HP:0002076","Migraine","340024","migraine","HPO_Term_Exact","migraine"
"SMAD2","HP:0002076","Migraine","4087","migraine","HPO_Term_Exact","migraine"
"SMAD3","HP:0002076","Migraine","4088","migraine","HPO_Term_Exact","migraine"
"SMAD4","HP:0002076","Migraine","4089","migraine","HPO_Term_Exact","migraine"
"SMARCAL1","HP:0002076","Migraine","50485","migraine","HPO_Term_Exact","migraine"
"SMARCB1","HP:0002076","Migraine","6598","migraine","HPO_Term_Exact","migraine"
"SPOP","HP:0002076","Migraine","8405","migraine","HPO_Term_Exact","migraine"
"SQOR","HP:0002076","Migraine","58472","migraine","HPO_Term_Exact","migraine"
"SRPX2","HP:0002076","Migraine","27286","migraine","HPO_Term_Exact","migraine"
"STARD7","HP:0002076","Migraine","56910","migraine","HPO_Term_Exact","migraine"
"STAT4","HP:0002076","Migraine","6775","migraine","HPO_Term_Exact","migraine"
"STIM1","HP:0002076","Migraine","6786","migraine","HPO_Term_Exact","migraine"
"SUFU","HP:0002076","Migraine","51684","migraine","HPO_Term_Exact","migraine"
"TET2","HP:0002076","Migraine","54790","migraine","HPO_Term_Exact","migraine"
"TGFBR2","HP:0002076","Migraine","7048","migraine","HPO_Term_Exact","migraine"
"TLR4","HP:0002076","Migraine","7099","migraine","HPO_Term_Exact","migraine"
"TNFRSF1A","HP:0002076","Migraine","7132","migraine","HPO_Term_Exact","migraine"
"TNFSF4","HP:0002076","Migraine","7292","migraine","HPO_Term_Exact","migraine"
"TP53","HP:0002076","Migraine","7157","migraine","HPO_Term_Exact","migraine"
"TREX1","HP:0002076","Migraine","11277","migraine","HPO_Term_Exact","migraine"
"TWIST1","HP:0002076","Migraine","7291","migraine","HPO_Term_Exact","migraine"
"TWNK","HP:0002076","Migraine","56652","migraine","HPO_Term_Exact","migraine"
"UBAC2","HP:0002076","Migraine","337867","migraine","HPO_Term_Exact","migraine"
"ZFTA","HP:0002076","Migraine","65998","migraine","HPO_Term_Exact","migraine"
"ZNF365","HP:0002076","Migraine","22891","migraine","HPO_Term_Exact","migraine"
"ATP1A2","HP:0002077","Migraine with aura","477","migraine with aura","HPO_Term_Contains","migraine"
"CACNA1A","HP:0002083","Migraine without aura","773","migraine without aura","HPO_Term_Contains","migraine"
"CACNA1A","HP:0002077","Migraine with aura","773","migraine with aura","HPO_Term_Contains","migraine"
"COL4A1","HP:0002077","Migraine with aura","1282","migraine with aura","HPO_Term_Contains","migraine"
"CSNK1D","HP:0002083","Migraine without aura","1453","migraine without aura","HPO_Term_Contains","migraine"
"CSNK1D","HP:0002077","Migraine with aura","1453","migraine with aura","HPO_Term_Contains","migraine"
"EDNRA","HP:0002083","Migraine without aura","1909","migraine without aura","HPO_Term_Contains","migraine"
"EDNRA","HP:0002077","Migraine with aura","1909","migraine with aura","HPO_Term_Contains","migraine"
"ESR1","HP:0002083","Migraine without aura","2099","migraine without aura","HPO_Term_Contains","migraine"
"ESR1","HP:0002077","Migraine with aura","2099","migraine with aura","HPO_Term_Contains","migraine"
"KCNK18","HP:0002083","Migraine without aura","338567","migraine without aura","HPO_Term_Contains","migraine"
"KCNK18","HP:0002077","Migraine with aura","338567","migraine with aura","HPO_Term_Contains","migraine"
"LAMB1","HP:0002083","Migraine without aura","3912","migraine without aura","HPO_Term_Contains","migraine"
"LAMB1","HP:0002077","Migraine with aura","3912","migraine with aura","HPO_Term_Contains","migraine"
"NOTCH3","HP:0002077","Migraine with aura","4854","migraine with aura","HPO_Term_Contains","migraine"
"PRRT2","HP:0002077","Migraine with aura","112476","migraine with aura","HPO_Term_Contains","migraine"
"SCN1A","HP:0002077","Migraine with aura","6323","migraine with aura","HPO_Term_Contains","migraine"
"TNF","HP:0002083","Migraine without aura","7124","migraine without aura","HPO_Term_Contains","migraine"
"TNF","HP:0002077","Migraine with aura","7124","migraine with aura","HPO_Term_Contains","migraine"
"TREX1","HP:0002083","Migraine without aura","11277","migraine without aura","HPO_Term_Contains","migraine"
"TREX1","HP:0002077","Migraine with aura","11277","migraine with aura","HPO_Term_Contains","migraine"
