"Gene"
"DGKE; diacylglycerol kinase epsilon [KO:K00901] [EC:2.7.1.107]"
"DGKG; diacylglycerol kinase gamma [KO:K00901] [EC:2.7.1.107]"
"DGKH; diacylglycerol kinase eta [KO:K00901] [EC:2.7.1.107]"
"DGKI; diacylglycerol kinase iota [KO:K00901] [EC:2.7.1.107]"
"DGKK; diacylglycerol kinase kappa [KO:K00901] [EC:2.7.1.107]"
"DGKQ; diacylglycerol kinase theta [KO:K00901] [EC:2.7.1.107]"
"DGKZ; diacylglycerol kinase zeta [KO:K00901] [EC:2.7.1.107]"
"DICER1; endoribonuclease Dicer isoform 1 [KO:K11592] [EC:3.1.26.-]"
"DLL1; delta like canonical Notch ligand 1 [KO:K06051]"
"DLL3; delta like canonical Notch ligand 3 [KO:K06051]"
"DLL4; delta like canonical Notch ligand 4 [KO:K06051]"
"DNMT1; DNA (cytosine-5)-methyltransferase 1 isoform b [KO:K00558] [EC:2.1.1.37]"
"DNMT3A; DNA (cytosine-5)-methyltransferase 3A isoform a [KO:K17398] [EC:2.1.1.37]"
"DNMT3B; DNA (cytosine-5)-methyltransferase 3B isoform 1 [KO:K17399] [EC:2.1.1.37]"
"DOT1L; DOT1 like histone lysine methyltransferase [KO:K11427] [EC:2.1.1.360]"
"DROSHA; drosha ribonuclease III [KO:K03685] [EC:3.1.26.3]"
"DUSP6; dual specificity phosphatase 6 [KO:K21946] [EC:3.1.3.16 3.1.3.48]"
"DVL1; dishevelled segment polarity protein 1 [KO:K02353]"
"DVL2; dishevelled segment polarity protein 2 [KO:K02353]"
"DVL3; dishevelled segment polarity protein 3 [KO:K02353]"
"E2F1; E2F transcription factor 1 [KO:K17454]"
"E2F1; transcription factor E2F1 [KO:K17454]"
"E2F2; E2F transcription factor 2 [KO:K09389]"
"E2F2; transcription factor E2F2 [KO:K09389]"
"E2F3; E2F transcription factor 3 [KO:K06620]"
"E2F3; transcription factor E2F3 isoform 1 [KO:K06620]"
"EDN1; endothelin 1 [KO:K16366]"
"EDNRA; endothelin receptor type A [KO:K04197]"
"EDNRB; endothelin receptor type B [KO:K04198]"
"EFNA1; ephrin-A1 isoform a precursor [KO:K05462]"
"EFNA2; ephrin-A2 precursor [KO:K05462]"
"EFNA3; ephrin-A3 precursor [KO:K05462]"
"EFNA4-EFNA3; EFNA4-EFNA3 protein precursor [KO:K05462]"
"EFNA4; ephrin-A4 isoform a precursor [KO:K05462]"
"EFNA5; ephrin-A5 isoform 1 precursor [KO:K05462]"
"EGF; epidermal growth factor [KO:K04357]"
"EGFR; epidermal growth factor receptor [KO:K04361] [EC:2.7.10.1]"
"EGFR; epidermal growth factor receptor isoform a precursor [KO:K04361] [EC:2.7.10.1]"
"EGLN1; egl-9 family hypoxia inducible factor 1 [KO:K09592] [EC:1.14.11.29]"
"EGLN2; egl-9 family hypoxia inducible factor 2 [KO:K09592] [EC:1.14.11.29]"
"EGLN3; egl-9 family hypoxia inducible factor 3 [KO:K09592] [EC:1.14.11.29]"
"EIF4B; eukaryotic translation initiation factor 4B [KO:K03258]"
"EIF4EBP1; eukaryotic translation initiation factor 4E binding protein 1 [KO:K07205]"
"ELANE; elastase"
"ELK1; ETS transcription factor ELK1 [KO:K04375]"
"ELK4; ETS transcription factor ELK4 [KO:K04376]"
"ELOB; elongin B [KO:K03873]"
"ELOC; elongin C [KO:K03872]"
"EML4; EMAP like 4 [KO:K15420]"
"EP300; E1A binding protein p300 [KO:K04498] [EC:2.3.1.48]"
"EP300; EP300 lysine acetyltransferase [KO:K04498] [EC:2.3.1.48]"
"EP300; histone acetyltransferase p300 isoform 1 [KO:K04498] [EC:2.3.1.48]"
"EPAS1; endothelial PAS domain protein 1 [KO:K09095]"
"EPO; erythropoietin [KO:K05437]"
"EPOR; erythropoietin receptor [KO:K05079]"
"ERBB2; erb-b2 receptor tyrosine kinase 2 [KO:K05083] [EC:2.7.10.1]"
"ERBB2; receptor tyrosine-protein kinase erbB-2 isoform a precursor [KO:K05083] [EC:2.7.10.1]"
"ERBB3; erb-b2 receptor tyrosine kinase 3 [KO:K05084] [EC:2.7.10.1]"
"ERBB3; receptor tyrosine-protein kinase erbB-3 isoform 1 precursor [KO:K05084] [EC:2.7.10.1]"
"ERBB4; erb-b2 receptor tyrosine kinase 4 [KO:K05085] [EC:2.7.10.1]"
"EREG; epiregulin [KO:K09784]"
"ERG; ETS transcription factor ERG [KO:K09435]"
"ESR1; estrogen receptor 1 [KO:K08550]"
"ESR2; estrogen receptor 2 [KO:K08551]"
"ETS1; ETS proto-oncogene 1"
"ETV1; ETS variant transcription factor 1 [KO:K09431]"
"ETV4; ETS variant transcription factor 4 [KO:K15592]"
"ETV5; ETS variant transcription factor 5 [KO:K15593]"
"ETV6; ETS variant transcription factor 6 [KO:K03211]"
"ETV7; ETS variant transcription factor 7 [KO:K03211]"
"EWSR1; EWS RNA binding protein 1 [KO:K13209]"
"EYA1; EYA transcriptional coactivator and phosphatase 1 [KO:K15616] [EC:3.1.3.48]"
