"Gene","TargetID","GeneName","Score"
"BRINP1","ENSG00000078725","BMP/retinoic acid inducible neural specific 1",0.311391790039522
"MRC2","ENSG00000011028","mannose receptor C-type 2",0.311202585741748
"ATP2B1","ENSG00000070961","ATPase plasma membrane Ca2+ transporting 1",0.310787235056623
"ABHD17C","ENSG00000136379","abhydrolase domain containing 17C, depalmitoylase",0.310644709523197
"PTK2B","ENSG00000120899","protein tyrosine kinase 2 beta",0.309921598125253
"DTL","ENSG00000143476","denticleless E3 ubiquitin protein ligase adapter",0.309215407956251
"FKTN","ENSG00000106692","fukutin",0.30851418409957
"LRCH1","ENSG00000136141","leucine rich repeats and calponin homology domain containing 1",0.308318638186562
"REEP3","ENSG00000165476","receptor accessory protein 3",0.307535788717799
"PDZRN4","ENSG00000165966","PDZ domain containing ring finger 4",0.306920497508957
"PTCH1","ENSG00000185920","patched 1",0.306701494933104
"PID1","ENSG00000153823","phosphotyrosine interaction domain containing 1",0.305978639439841
"C1orf87","ENSG00000162598","chromosome 1 open reading frame 87",0.30583058470875
"DENND1A","ENSG00000119522","DENN domain containing 1A",0.305167372119978
"RREB1","ENSG00000124782","ras responsive element binding protein 1",0.305043491079847
"TMEM51","ENSG00000171729","transmembrane protein 51",0.300783743454349
"FRYL","ENSG00000075539","FRY like transcription coactivator",0.299604289593556
"PPP1R3C","ENSG00000119938","protein phosphatase 1 regulatory subunit 3C",0.298932172661504
"MTNR1A","ENSG00000168412","melatonin receptor 1A",0.29867959146071
"GLO1","ENSG00000124767","glyoxalase I",0.297748197414971
"ADTRP","ENSG00000111863","androgen dependent TFPI regulating protein",0.297384526003636
"DENND5A","ENSG00000184014","DENN domain containing 5A",0.297331436894586
"PRC1","ENSG00000198901","protein regulator of cytokinesis 1",0.297148345554389
"ZNF475","ENSG00000250803","zinc finger protein 475",0.296740297375343
"ZFP36L1","ENSG00000185650","ZFP36 like 1 zinc finger CCCH-type",0.296138011346068
"EYA1","ENSG00000104313","EYA transcriptional coactivator and phosphatase 1",0.296087918136947
"HTR2A","ENSG00000102468","5-hydroxytryptamine receptor 2A",0.296071135387175
"DGKI","ENSG00000157680","diacylglycerol kinase iota",0.29585179275939
"RAB3IL1","ENSG00000167994","RAB3A interacting protein like 1",0.295458669008303
