"Gene_Symbol","Gene_Name","MIM_Number","Entry_Title","Search_Term","Phenotype_Map","Inheritance","Entrez_GeneIDs","Ensembl_IDs","Source"
"C-TERMINAL","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"C-TERMINAL","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"C-TERMINAL","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"C-TERMINAL","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"C1QBP","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"C1QBP","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CAC1A1A","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CAC1A1A","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CAC1A1A","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CAC1A1A","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1A","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1A","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1A","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1A","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1A","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1E","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1E","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1G","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1G","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1G","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1H","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1H","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA1H","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA2D1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNA2D1","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNB4","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNB4","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNB4","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNB4","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CACNB4","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CAD","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CAD","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CADASIL1","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CADASIL1","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CADASIL1","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CADASIL1","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCA","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCA","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCA","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCA","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCIFICATION","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCIFICATION","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN-","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN-","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN-","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCITONIN-","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCIUM","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCIUM","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCIUM","","","","""familial hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CALCIUM","","","","""hemiplegic migraine""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CARRIER","","","","migraine","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CARRIER","","","","""migraine with aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
"CARRIER","","","","""migraine without aura""","migraine","","","","OMIM_SCRAPE_FALLBACK"
